character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Isle of Conquest win_rate,Temple of Kotmogu win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Isle of Conquest played,Temple of Kotmogu played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Alterac Valley won,Isle of Conquest won,Temple of Kotmogu won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Deepwind Gorge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Deepwind Gorge (Legacy) played,Ashran played,Arathi Basin Winter played,Deepwind Gorge played,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Deepwind Gorge (Legacy) won,Ashran won,Arathi Basin Winter won,Deepwind Gorge won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Rated Eye of the Storm win_rate,Korrak's Revenge win_rate,Rated Eye of the Storm played,Korrak's Revenge played,Rated Eye of the Storm won,Korrak's Revenge won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
129706137,Lujn,twisting-nether,8.0,2191.0,60.0,50.0,50.0,,,,,5.0,4.0,4.0,,,,,3.0,2.0,2.0,,,,,33.0,60.0,17.0,80.0,33.0,67.0,57.0,33.0,,,,6.0,5.0,6.0,5.0,3.0,3.0,7.0,3.0,,,,2.0,3.0,1.0,4.0,1.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,
175018118,Dranapal,dalaran,13.0,458.0,,100.0,,,,0.0,50.0,,1.0,,,,1.0,2.0,,1.0,,,,0.0,1.0,,,,,,,,,100.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
166079251,Steks,blades-edge,22.0,20841.0,48.0,48.0,58.0,100.0,70.0,57.0,60.0,160.0,23.0,12.0,3.0,10.0,7.0,5.0,77.0,11.0,7.0,3.0,7.0,4.0,3.0,59.0,62.0,49.0,64.0,33.0,82.0,38.0,40.0,,67.0,25.0,49.0,93.0,43.0,61.0,15.0,11.0,26.0,5.0,,3.0,4.0,29.0,58.0,21.0,39.0,5.0,9.0,10.0,2.0,,2.0,1.0,,,,,14.0,,7.0,,1.0,,,,,,
140892084,Krisis,dun-modr,17.0,2880.0,33.0,75.0,50.0,20.0,50.0,75.0,75.0,6.0,4.0,4.0,5.0,6.0,4.0,4.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,0.0,,33.0,,50.0,29.0,40.0,0.0,100.0,100.0,100.0,2.0,,3.0,,2.0,7.0,5.0,3.0,3.0,1.0,1.0,0.0,,1.0,,1.0,2.0,2.0,0.0,3.0,1.0,1.0,100.0,8.0,8.0,,,,,,,,,,,,
111017100,Vyneira,zirkel-des-cenarius,42.0,496.0,,,40.0,100.0,100.0,100.0,,,,5.0,1.0,2.0,1.0,,,,2.0,1.0,2.0,1.0,,,,,,100.0,50.0,,,,,,,,,,1.0,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
126725985,Borimir,agamaggan,41.0,1771.0,40.0,100.0,50.0,0.0,,0.0,50.0,5.0,4.0,2.0,2.0,,4.0,2.0,2.0,4.0,1.0,0.0,,0.0,1.0,100.0,0.0,0.0,0.0,40.0,50.0,0.0,100.0,,,0.0,1.0,2.0,2.0,2.0,5.0,6.0,2.0,1.0,,,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,,,0.0,100.0,44.0,44.0,,,,,,,,,,,,
191467363,Bkhawk,frostmane,56.0,8744.0,33.0,46.0,71.0,57.0,33.0,64.0,43.0,12.0,13.0,7.0,7.0,3.0,14.0,14.0,4.0,6.0,5.0,4.0,1.0,9.0,6.0,25.0,29.0,50.0,43.0,40.0,43.0,58.0,100.0,75.0,,75.0,4.0,14.0,12.0,7.0,5.0,7.0,12.0,1.0,4.0,,8.0,1.0,4.0,6.0,3.0,2.0,3.0,7.0,1.0,3.0,,6.0,,,,200.0,,1.0,,2.0,,,,,,,
133368774,Qunaii,defias-brotherhood,29.0,1882.0,50.0,25.0,,0.0,50.0,50.0,,6.0,4.0,,1.0,4.0,2.0,,3.0,1.0,,0.0,2.0,1.0,,,,80.0,,100.0,0.0,25.0,,,0.0,60.0,,,5.0,,1.0,1.0,4.0,,,1.0,5.0,,,4.0,,1.0,0.0,1.0,,,0.0,3.0,,,,50.0,0.0,2.0,6.0,1.0,0.0,,,,,,
156303209,Idiots,ravencrest,31.0,359.0,,,,100.0,,100.0,,,,,1.0,,2.0,,,,,1.0,,2.0,,,,0.0,,50.0,50.0,,,,,,,,1.0,,2.0,2.0,,,,,,,,0.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
69121785,Syriel,nazjatar,26.0,10735.0,43.0,0.0,100.0,,,,100.0,7.0,1.0,2.0,,,,1.0,3.0,0.0,2.0,,,,1.0,33.0,0.0,0.0,50.0,,33.0,100.0,50.0,,,,3.0,1.0,1.0,2.0,,3.0,1.0,2.0,,,,1.0,0.0,0.0,1.0,,1.0,1.0,1.0,,,,100.0,1.0,1.0,,91.0,,22.0,,20.0,,,,,,
197735942,Ghorl,archimonde,34.0,1490.0,0.0,100.0,40.0,50.0,33.0,50.0,50.0,3.0,1.0,5.0,4.0,3.0,4.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,,,33.0,,50.0,17.0,43.0,,0.0,,67.0,,,3.0,,4.0,6.0,7.0,,1.0,,9.0,,,1.0,,2.0,1.0,3.0,,0.0,,6.0,,,,75.0,,4.0,,3.0,,,,,,,
30076378,Jodilyn,outland,66.0,7840.0,59.0,82.0,83.0,88.0,33.0,,100.0,22.0,17.0,6.0,8.0,3.0,,1.0,13.0,14.0,5.0,7.0,1.0,,1.0,40.0,56.0,45.0,0.0,100.0,25.0,67.0,50.0,,,,10.0,9.0,11.0,2.0,2.0,4.0,3.0,2.0,,,,4.0,5.0,5.0,0.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
186395929,Бэдгар,azuregos,8.0,919.0,50.0,100.0,,0.0,,0.0,25.0,2.0,1.0,,1.0,,1.0,4.0,1.0,1.0,,0.0,,0.0,1.0,,,67.0,,50.0,50.0,,,,20.0,,,,3.0,,2.0,2.0,,,,5.0,,,,2.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
141445649,Adrianie,ysera,126.0,140.0,,,,0.0,100.0,0.0,,,,,1.0,1.0,1.0,,,,,0.0,1.0,0.0,,,,,,0.0,,,,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
155148357,Padogorek,silvermoon,115.0,28240.0,61.0,74.0,61.0,60.0,50.0,63.0,54.0,41.0,47.0,116.0,20.0,22.0,19.0,13.0,25.0,35.0,71.0,12.0,11.0,12.0,7.0,37.0,35.0,35.0,47.0,48.0,44.0,47.0,60.0,29.0,25.0,57.0,59.0,40.0,46.0,45.0,64.0,71.0,74.0,57.0,7.0,12.0,7.0,22.0,14.0,16.0,21.0,31.0,31.0,35.0,34.0,2.0,3.0,4.0,100.0,5.0,5.0,167.0,,3.0,,5.0,,81.0,26.0,21.0,,,
145420670,Tramleth,argent-dawn,3.0,947.0,,,100.0,,,,,,,2.0,,,,,,,2.0,,,,,50.0,0.0,,,100.0,,100.0,50.0,,,,2.0,1.0,,,1.0,,1.0,2.0,,,,1.0,0.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
78973088,Киирраа,gordunni,44.0,29121.0,46.0,66.0,68.0,100.0,,0.0,,26.0,29.0,19.0,1.0,,1.0,,12.0,19.0,13.0,1.0,,0.0,,51.0,39.0,59.0,46.0,58.0,69.0,57.0,54.0,,0.0,,136.0,80.0,66.0,56.0,50.0,26.0,63.0,13.0,,1.0,,69.0,31.0,39.0,26.0,29.0,18.0,36.0,7.0,,0.0,,,,,,,,,,,,,,,,
212574528,Galid,sylvanas,14.0,19104.0,58.0,53.0,78.0,0.0,33.0,20.0,,52.0,17.0,23.0,2.0,3.0,5.0,,30.0,9.0,18.0,0.0,1.0,1.0,,58.0,55.0,52.0,54.0,56.0,31.0,61.0,41.0,,,100.0,79.0,53.0,52.0,41.0,55.0,13.0,49.0,17.0,,,1.0,46.0,29.0,27.0,22.0,31.0,4.0,30.0,7.0,,,1.0,,,,,,,,,,,,,,,
225008298,Kýýra,sylvanas,24.0,529.0,100.0,50.0,,,100.0,0.0,0.0,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,0.0,0.0,,,,,0.0,0.0,,,0.0,50.0,100.0,,,,,1.0,1.0,,,2.0,2.0,1.0,,,,,0.0,0.0,,,0.0,1.0,1.0,,,,100.0,,1.0,,1.0,,,,,,,
96780623,Rustozar,tarren-mill,13.0,24468.0,62.0,50.0,,0.0,0.0,0.0,100.0,117.0,44.0,,1.0,2.0,1.0,1.0,73.0,22.0,,0.0,0.0,0.0,1.0,48.0,54.0,75.0,68.0,50.0,,57.0,,,,0.0,80.0,68.0,63.0,60.0,8.0,,14.0,,,,1.0,38.0,37.0,47.0,41.0,4.0,,8.0,,,,0.0,,,,4700.0,,1.0,,47.0,,,,,,,
148268233,Dunkelzerg,blackmoore,81.0,342.0,,,,100.0,,,0.0,,,,2.0,,,1.0,,,,2.0,,,0.0,,,0.0,,67.0,,0.0,,0.0,,0.0,,,2.0,,3.0,,1.0,,1.0,,1.0,,,0.0,,2.0,,0.0,,0.0,,0.0,,,,0.0,,1.0,,0.0,,,,,,,
93285717,Stephanofke,shadowsong,1.0,3282.0,67.0,50.0,100.0,,,,,15.0,6.0,1.0,,,,,10.0,3.0,1.0,,,,,50.0,20.0,100.0,21.0,0.0,25.0,75.0,,,,,4.0,15.0,4.0,14.0,2.0,4.0,4.0,,,,,2.0,3.0,4.0,3.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,
174241461,Hêizën,marécage-de-zangar,17.0,519.0,,100.0,60.0,0.0,50.0,50.0,,,1.0,5.0,1.0,2.0,2.0,,,1.0,3.0,0.0,1.0,1.0,,,,,,100.0,33.0,100.0,,0.0,,0.0,,,,,1.0,3.0,1.0,,1.0,,2.0,,,,,1.0,1.0,1.0,,0.0,,0.0,,,,,,,,,,,,,,,
189279294,Холиманьяк,gordunni,60.0,14208.0,0.0,57.0,64.0,66.0,46.0,74.0,0.0,3.0,7.0,47.0,44.0,26.0,23.0,2.0,0.0,4.0,30.0,29.0,12.0,17.0,0.0,55.0,60.0,72.0,,57.0,67.0,56.0,55.0,0.0,44.0,75.0,11.0,5.0,25.0,,28.0,27.0,36.0,20.0,1.0,9.0,8.0,6.0,3.0,18.0,,16.0,18.0,20.0,11.0,0.0,4.0,6.0,100.0,2.0,2.0,,,,,,,,,,,,
102178351,Zahndoktor,antonidas,18.0,665.0,100.0,0.0,100.0,100.0,,,50.0,2.0,1.0,1.0,1.0,,,2.0,2.0,0.0,1.0,1.0,,,1.0,,,,,,,,,100.0,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
189585324,Егорметеорус,gordunni,19.0,1466.0,,100.0,0.0,100.0,100.0,33.0,100.0,,1.0,1.0,2.0,1.0,3.0,1.0,,1.0,0.0,2.0,1.0,1.0,1.0,,,100.0,,,50.0,0.0,0.0,,,100.0,,,1.0,,,2.0,1.0,2.0,,,1.0,,,1.0,,,1.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,
166849639,Plude,defias-brotherhood,8.0,19.0,100.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107144363,Shtrauska,les-clairvoyants,45.0,11295.0,67.0,0.0,38.0,67.0,33.0,,,3.0,1.0,45.0,12.0,3.0,,,2.0,0.0,17.0,8.0,1.0,,,31.0,18.0,13.0,30.0,24.0,40.0,27.0,35.0,,0.0,,52.0,22.0,15.0,20.0,51.0,42.0,56.0,17.0,,1.0,,16.0,4.0,2.0,6.0,12.0,17.0,15.0,6.0,,0.0,,,,,,,,,,,,,,,,
139761382,Clesson,blackrock,5.0,127.0,,,,,,,0.0,,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214836177,Auera,sylvanas,61.0,10328.0,60.0,56.0,65.0,,,,20.0,42.0,25.0,17.0,,,,5.0,25.0,14.0,11.0,,,,1.0,66.0,47.0,63.0,50.0,52.0,23.0,59.0,25.0,,,,32.0,19.0,27.0,20.0,25.0,13.0,17.0,4.0,,,,21.0,9.0,17.0,10.0,13.0,3.0,10.0,1.0,,,,,,,,80.0,,5.0,,4.0,,,,,,
89933994,Lasaga,ravencrest,57.0,3653.0,14.0,25.0,100.0,75.0,100.0,25.0,27.0,7.0,12.0,1.0,4.0,1.0,4.0,11.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,,,33.0,,0.0,50.0,33.0,,0.0,,67.0,,,3.0,,3.0,2.0,3.0,,1.0,,3.0,,,1.0,,0.0,1.0,1.0,,0.0,,2.0,,,,,,,,,,,,,,,
243006815,Strandtownn,sylvanas,13.0,1229.0,100.0,0.0,33.0,40.0,0.0,0.0,,2.0,1.0,3.0,5.0,2.0,3.0,,2.0,0.0,1.0,2.0,0.0,0.0,,,,,,50.0,29.0,50.0,,,,100.0,,,,,4.0,7.0,2.0,,,,4.0,,,,,2.0,2.0,1.0,,,,4.0,,,,80.0,,5.0,,4.0,,,,,,,
139653617,Bolívar,magtheridon,25.0,10775.0,29.0,60.0,45.0,76.0,50.0,65.0,50.0,7.0,5.0,22.0,17.0,20.0,17.0,4.0,2.0,3.0,10.0,13.0,10.0,11.0,2.0,56.0,100.0,67.0,0.0,74.0,55.0,74.0,56.0,75.0,50.0,74.0,9.0,1.0,18.0,1.0,27.0,20.0,19.0,9.0,4.0,2.0,19.0,5.0,1.0,12.0,0.0,20.0,11.0,14.0,5.0,3.0,1.0,14.0,100.0,2.0,2.0,,50.0,,2.0,,1.0,100.0,1.0,1.0,,,
209552371,Noderneder,deathwing,22.0,1059.0,,,,100.0,0.0,60.0,,,,,1.0,1.0,5.0,,,,,1.0,0.0,3.0,,,,100.0,,0.0,75.0,0.0,,,,40.0,,,3.0,,3.0,4.0,4.0,,,,5.0,,,3.0,,0.0,3.0,0.0,,,,2.0,,,,100.0,,1.0,,1.0,,,,,,,
153584340,Shei,eitrigg,15.0,20062.0,65.0,71.0,41.0,50.0,62.0,100.0,,17.0,31.0,49.0,4.0,16.0,3.0,,11.0,22.0,20.0,2.0,10.0,3.0,,42.0,47.0,55.0,48.0,50.0,62.0,44.0,56.0,50.0,,67.0,132.0,47.0,56.0,40.0,30.0,26.0,36.0,27.0,2.0,,3.0,56.0,22.0,31.0,19.0,15.0,16.0,16.0,15.0,1.0,,2.0,,,,,,,,,,,,,,,
177514687,Grunnbeld,dalaran,9.0,2278.0,,,42.0,56.0,60.0,44.0,,,,19.0,9.0,5.0,9.0,,,,8.0,5.0,3.0,4.0,,,,100.0,,46.0,69.0,44.0,,,,38.0,,,1.0,,13.0,13.0,9.0,,,,8.0,,,1.0,,6.0,9.0,4.0,,,,3.0,,,,71.0,0.0,7.0,1.0,5.0,0.0,,,,,,
187835499,Асогири,gordunni,74.0,1126.0,,100.0,,,,,100.0,,3.0,,,,,1.0,,3.0,,,,,1.0,,,,,0.0,,,,0.0,,,,,,,1.0,,,,1.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,
149922389,Verdikt,alleria,13.0,3767.0,60.0,100.0,43.0,0.0,57.0,,80.0,5.0,4.0,14.0,4.0,7.0,,5.0,3.0,4.0,6.0,0.0,4.0,,4.0,50.0,20.0,100.0,0.0,31.0,40.0,67.0,67.0,,,100.0,8.0,5.0,9.0,1.0,13.0,5.0,3.0,3.0,,,2.0,4.0,1.0,9.0,0.0,4.0,2.0,2.0,2.0,,,2.0,100.0,4.0,4.0,,,,,,,,,,,,
183958955,Lmaowtf,kazzak,15.0,429.0,,,0.0,33.0,60.0,67.0,,,,1.0,3.0,5.0,3.0,,,,0.0,1.0,3.0,2.0,,,,0.0,,,,67.0,,,,100.0,,,1.0,,,,3.0,,,,2.0,,,0.0,,,,2.0,,,,2.0,,,,50.0,,2.0,,1.0,,,,,,,
181677258,Саффирин,gordunni,14.0,1222.0,100.0,,50.0,,,,,1.0,,2.0,,,,,1.0,,1.0,,,,,50.0,67.0,50.0,50.0,0.0,40.0,,100.0,,,,6.0,3.0,2.0,4.0,3.0,5.0,,1.0,,,,3.0,2.0,1.0,2.0,0.0,2.0,,1.0,,,,,,,,,,,,,,,,,,
245739784,Tacobubble,sylvanas,31.0,6489.0,50.0,50.0,64.0,56.0,18.0,58.0,,12.0,4.0,22.0,9.0,11.0,12.0,,6.0,2.0,14.0,5.0,2.0,7.0,,78.0,50.0,44.0,67.0,19.0,18.0,29.0,50.0,100.0,,40.0,9.0,10.0,9.0,3.0,16.0,11.0,7.0,2.0,2.0,,5.0,7.0,5.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,,2.0,,,,,0.0,,3.0,,0.0,,,,,,
88987312,Engmor,grim-batol,7.0,2052.0,80.0,50.0,100.0,50.0,50.0,,100.0,5.0,6.0,1.0,2.0,6.0,,2.0,4.0,3.0,1.0,1.0,3.0,,2.0,,,100.0,,100.0,0.0,67.0,,60.0,,50.0,,,2.0,,1.0,1.0,3.0,,5.0,,2.0,,,2.0,,1.0,0.0,2.0,,3.0,,1.0,,,,100.0,,1.0,,1.0,,,,,,,
