,Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Tabard,Shirt,Off Hand,score
3209,Wing Commander's Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Legplates of Unholy Frenzy,Muckwallow Stompers,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Pulsating Stoneheart,Grim Codex,Drape of Twisted Loyalties,Supercollider,Guild Tabard,,Sinful Gladiator's Guard,1196.1
3210,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Bracers of the Tenebrous Retinue,Fogweaver Gauntlets,Entwined Gorger Tendril,Signet of the False Accuser,Slimy Consumptive Organ,Anima Field Emitter,Dealer Xy'exa's Cape,Engorged Worm Smasher,,,Acidslough Bulwark,1042.4
3211,Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Entwined Gorger Tendril,Death God's Signet,Darkmoon Deck: Indomitable,Spare Meat Hook,Drape of Twisted Loyalties,Supercollider,,,Acidslough Bulwark,1160.0
3212,Wing Commander's Helmet,Noble's Birthstone Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Fogweaver Gauntlets,Fleshfused Circle,Ritual Commander's Ring,Blood-Spattered Scale,Slimy Consumptive Organ,Blighted Margrave's Cloak,Supercollider,Nightfallen Tabard,Tuxedo-Like Shirt,Encrusted Canopic Lid,1208.5
3213,Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Gormshell Greaves,Muckwallow Stompers,Soldier's Stoneband Wristguards,Distorted Construct's Gauntlets,Signet of the False Accuser,Death God's Signet,Pulsating Stoneheart,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Engorged Worm Smasher,,,Encrusted Canopic Lid,1297.4
3214,Darkfrost Helmet,Sinful Gladiator's Amulet,Pauldrons of Unleashed Pride,Abdominal Securing Chestguard,Shadowghast Waistguard,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Pit Fighter's Wristguards,Sinful Gladiator's Plate Handguards,Sinful Gladiator's Signet,Ritual Bone Band,Sinful Aspirant's Sigil of Adaptation,Sinful Aspirant's Insignia of Alacrity,Blighted Margrave's Cloak,Axe of the Deadgrove,Guild Tabard,Initiate's Shirt,Barricade of the Endless Empire,1181.9
3215,Plague Handler's Greathelm,Azure-Venom Choker,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Shadowghast Greaves,Errant Crusader's Greaves,Shoulderblade Vambraces,Fleshfused Crushers,Most Regal Signet of Sire Denathrius,Hyperlight Band,Blood-Spattered Scale,Viscera of Coalesced Hatred,Drape of Twisted Loyalties,Sacred Sparrer's Edge,,,Chyrus's Crest of Hope,1145.9
3216,Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Gormshell Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Death God's Signet,Ritual Bone Band,Blood-Spattered Scale,Slimy Consumptive Organ,Cowled Batwing Cloak,Engorged Worm Smasher,,,Acidslough Bulwark,1342.1
3217,Wing Commander's Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Band of the Risen Bonelord,Ritualist's Treasured Ring,Gluttonous Spike,Decanter of Anima-Charged Winds,Drape of Twisted Loyalties,Sophisticated Bonecracker,Argent Crusader's Tabard,,Sylvan Whiteshield,721.5
3218,Shadowghast Helm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Breastplate of Fatal Contrivances,Binding of Warped Desires,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Death God's Signet,Ritual Bone Band,Blood-Spattered Scale,Anima Field Emitter,Cowled Batwing Cloak,Axe of the Deadgrove,Guild Tabard,,Barricade of the Endless Empire,1078.4
3219,Shadowghast Helm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Hellhound Cuffs,Guilewind Stone Talons,Ritual Bone Band,Most Regal Signet of Sire Denathrius,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Blighted Margrave's Cloak,Sinful Gladiator's Swordbreaker,,Precious' Ribbon,Acidslough Bulwark,1057.7
3220,Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Binding of Warped Desires,Ceremonial Parade Legguards,Dynamo Doomstompers,Hellhound Cuffs,Fogweaver Gauntlets,Band of the Risen Bonelord,Signet of the False Accuser,Bargast's Leash,Gluttonous Spike,Cowled Batwing Cloak,Axe of the Deadgrove,,,Acidslough Bulwark,997.0
3221,Shadowghast Helm,Trailspinner Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Muckwallow Stompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Anima Field Emitter,Bladedancer's Armor Kit,Cowled Batwing Cloak,Sophisticated Bonecracker,Tabard of the Ascended,Stylish Red Shirt,Acidslough Bulwark,964.4
3222,Wrathbark Greathelm,Sinful Gladiator's Necklace,Epaulettes of Overwhelming Force,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Shadowghast Ring,Signet of the False Accuser,Anima Field Emitter,Blood-Spattered Scale,Sinful Gladiator's Drape,Sinful Gladiator's Shillelagh,,Captain Sanders' Shirt,Sinful Gladiator's Bulwark,1062.8
3223,Wrathbark Greathelm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Abdominal Securing Chestguard,Shadowghast Waistguard,Ceremonial Parade Legguards,Muckwallow Stompers,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Death God's Signet,Signet of the False Accuser,Blood-Spattered Scale,Splintered Heart of Al'ar,Crest of the Legionnaire General,Supercollider,Undercity Tabard,,Acidslough Bulwark,1059.6
3224,Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Death God's Signet,Signet of the False Accuser,Splintered Heart of Al'ar,Blood-Spattered Scale,Blighted Margrave's Cloak,Engorged Worm Smasher,Competitor's Tabard,Blue Lumberjack Shirt,Acidslough Bulwark,1209.5
3225,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Fallen Templar's Gauntlets,Stitchflesh's Misplaced Signet,Band of the Risen Bonelord,Inscrutable Quantum Device,Anima Field Emitter,Decadent Nathrian Shawl,Sophisticated Bonecracker,,Precious' Ribbon,Acidslough Bulwark,1093.9
3226,Wing Commander's Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Sinful Gladiator's Plate Stompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Ritual Bone Band,Death God's Signet,Viscera of Coalesced Hatred,Decanter of Anima-Charged Winds,Cowled Batwing Cloak,Sinful Gladiator's Xiphos,Orgrimmar Tabard,,Barricade of the Endless Empire,871.6
3227,Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Ritual Bone Band,Anima Field Emitter,Blood-Spattered Scale,Blighted Margrave's Cloak,Sophisticated Bonecracker,,Fashionable Undershirt,Encrusted Canopic Lid,860.8
3228,Plague Handler's Greathelm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Gormshell Greaves,Selfless Collector's Warboots,Pit Fighter's Wristguards,Selfless Collector's Gauntlets,Signet of the False Accuser,Fleshfused Circle,Macabre Sheet Music,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Axe of the Deadgrove,,Ebon Filigreed Doublet,Acidslough Bulwark,695.5
3229,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Waistguard of Expurged Anguish,Galvanized Oxxein Legguards,Dynamo Doomstompers,Vambraces of the Depraved Warden,Guilewind Stone Talons,Bloodoath Signet,Signet of the False Accuser,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Mantle of Manifest Sins,Engorged Worm Smasher,,,Sinful Gladiator's Guard,1013.2
3230,Shadowghast Helm,Trailspinner Pendant,Vile Butcher's Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Arachnid Cipher Ring,Death God's Signet,Blood-Spattered Scale,Dreadfire Vessel,Dealer Xy'exa's Cape,Xandria's Kopis of Courage,,,Chyrus's Crest of Hope,888.2
3231,Darkfrost Helmet,Sinful Gladiator's Necklace,Prankster's Pauldrons,Rampaging Giant's Chestplate,Fused Bone Greatbelt,Halkias's Towering Pillars,Errant Crusader's Greaves,Shadowghast Armguards,Fleshfused Crushers,Ritual Bone Band,Hyperlight Band,Sinful Aspirant's Medallion,Stone Legion Heraldry,Cowled Batwing Cloak,Sinful Gladiator's Swordbreaker,,,Barricade of the Endless Empire,905.1
3232,Darkfrost Helmet,Sin Stained Pendant,Epaulettes of Overwhelming Force,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Dynamo Doomstompers,Shadowghast Armguards,Fleshfused Crushers,Signet of the False Accuser,Death God's Signet,Inscrutable Quantum Device,Blood-Spattered Scale,Dealer Xy'exa's Cape,Supercollider,,White Linen Shirt,Encrusted Canopic Lid,919.7
3233,Darkfrost Helmet,Sinful Gladiator's Necklace,Prankster's Pauldrons,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Shadowghast Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Sinful Aspirant's Insignia of Alacrity,Shroud of the Penitent,Engorged Worm Smasher,Stone Guard's Herald,,Acidslough Bulwark,812.6
3234,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Gormshell Greaves,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Hardened Castle Crushers,Hyperlight Band,Death God's Signet,Viscera of Coalesced Hatred,Blood-Spattered Scale,Blighted Margrave's Cloak,Sophisticated Bonecracker,Illustrious Guild Tabard,,Acidslough Bulwark,1004.1
3235,Plague Handler's Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Hardened Castle Crushers,Ritual Bone Band,Ardent Sunstar Signet,Viscera of Coalesced Hatred,Blood-Spattered Scale,Cowled Batwing Cloak,Supercollider,,,Acidslough Bulwark,916.3
3236,Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Gormshell Greaves,Dynamo Doomstompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Decanter of Anima-Charged Winds,Anima Field Emitter,Mantle of Manifest Sins,Gorestained Cleaver,Renowned Guild Tabard,Artisan Officer's Shirt,Acidslough Bulwark,1054.2
3237,Wing Commander's Helmet,Trailspinner Pendant,Unyielding Combatant's Pauldrons,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Shadowghast Greaves,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Guilewind Stone Talons,Ring of Perpetual Conflict,Arachnid Cipher Ring,Splintered Heart of Al'ar,Bargast's Leash,Drape of Twisted Loyalties,Supercollider,,,Encrusted Canopic Lid,825.4
3238,Wing Commander's Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Slimy Consumptive Organ,Viscera of Coalesced Hatred,Dealer Xy'exa's Cape,Engorged Worm Smasher,Argent Crusader's Tabard,Fashionable Undershirt,Acidslough Bulwark,836.8
3239,Wing Commander's Helmet,Trailspinner Pendant,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Shadowghast Armguards,Fleshfused Crushers,Death God's Signet,Hyperlight Band,Splintered Heart of Al'ar,Slimy Consumptive Organ,Blighted Margrave's Cloak,Engorged Worm Smasher,,Sleeveless T-Shirt,Barricade of the Endless Empire,1052.3
3240,Shadowghast Helm,Azure-Venom Choker,Vile Butcher's Pauldrons,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Pit Fighter's Wristguards,Fleshfused Crushers,Entwined Gorger Tendril,Signet of the False Accuser,Blood-Spattered Scale,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Axe of the Deadgrove,Blood Knight Tabard,Black Swashbuckler's Shirt,Chyrus's Crest of Hope,1328.6
3241,Wing Commander's Helmet,Azure-Venom Choker,Vile Butcher's Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Reality-Shatter Vambraces,Hardened Castle Crushers,Shadowghast Ring,Ritual Bone Band,Blood-Spattered Scale,Sinful Gladiator's Badge of Ferocity,Dealer Xy'exa's Cape,Sophisticated Bonecracker,,,Chyrus's Crest of Hope,970.4
3242,Darkfrost Helmet,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Ritual Bone Band,Band of the Risen Bonelord,Anima Field Emitter,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Sinsmasher,Darkspear Tabard,,Acidslough Bulwark,790.2
3243,Wing Commander's Helmet,Reinforced High Collar,Epaulettes of Overwhelming Force,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Shadowghast Sabatons,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Ritualist's Treasured Ring,Hyperlight Band,Inscrutable Quantum Device,Grim Codex,Crest of the Legionnaire General,Gorestained Cleaver,Darnassus Tabard,Antiseptic-Soaked Dressing,Sinful Gladiator's Redoubt,733.2
3244,Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Abdominal Securing Chestguard,Waistguard of Expurged Anguish,Endlessly Gluttonous Greaves,Dynamo Doomstompers,Pit Fighter's Wristguards,Guilewind Stone Talons,Ritualist's Treasured Ring,Band of the Risen Bonelord,Darkmoon Deck: Indomitable,Gluttonous Spike,Drape of Twisted Loyalties,Axe of the Deadgrove,,,Stonewrought Gargoyles Barrier,684.2
3245,Darkfrost Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Gormshell Greaves,Dynamo Doomstompers,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Ritualist's Treasured Ring,Stitchflesh's Misplaced Signet,Memory of Past Sins,Anima Field Emitter,Drape of Twisted Loyalties,Engorged Worm Smasher,Tabard of the Honorbound,,Acidslough Bulwark,889.4
3246,Shadowghast Helm,Sin Stained Pendant,Epaulettes of Overwhelming Force,Rampaging Giant's Chestplate,Binding of Warped Desires,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Hellhound Cuffs,Colossal Plate Gauntlets,Hyperlight Band,Band of the Risen Bonelord,Blood-Spattered Scale,Overwhelming Power Crystal,Cowled Batwing Cloak,Axe of the Deadgrove,,,Elysian Sentinel's Aegis,711.1
3247,Oversized Centurion Helm,Trailspinner Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Waistguard of Expurged Anguish,Gormshell Greaves,Shieldguard's Warboots,Hellhound Cuffs,Colossal Plate Gauntlets,Hyperlight Band,Ritual Bone Band,Inscrutable Quantum Device,Gluttonous Spike,Dealer Xy'exa's Cape,Engorged Worm Smasher,,,Barricade of the Endless Empire,750.3
3248,Darkfrost Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Selfless Collector's Girdle,Galvanized Oxxein Legguards,Muckwallow Stompers,Reality-Shatter Vambraces,Guilewind Stone Talons,Entwined Gorger Tendril,Signet of the False Accuser,Viscera of Coalesced Hatred,Macabre Sheet Music,Cloak of Enveloping Manifestations,Sophisticated Bonecracker,Renowned Guild Tabard,,Elysian Sentinel's Aegis,801.7
3249,Diadem of Imperious Desire,Charm of Eternal Winter,Vile Butcher's Pauldrons,Breastplate of Cautious Calculation,Fused Bone Greatbelt,Shadowghast Greaves,Errant Crusader's Greaves,Shoulderblade Vambraces,Guilewind Stone Talons,Most Regal Signet of Sire Denathrius,Entwined Gorger Tendril,Blood-Spattered Scale,Anima Field Emitter,Cowled Batwing Cloak,Engorged Worm Smasher,,,Elysian Sentinel's Aegis,599.9
3250,Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fogweaver Gauntlets,Band of the Risen Bonelord,Ritual Bone Band,Bargast's Leash,Blood-Spattered Scale,Dealer Xy'exa's Cape,Supercollider,Tabard of the Dark Iron,,Acidslough Bulwark,838.5
3251,Diadem of Imperious Desire,Noble's Birthstone Pendant,Shadowghast Pauldrons,Chestplate of Titanic Fury,Stoic Guardsman's Belt,Gormshell Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Hardened Castle Crushers,Most Regal Signet of Sire Denathrius,Signet of the False Accuser,Anima Field Emitter,Gluttonous Spike,Cloak of Enveloping Manifestations,Ascended Gladius of Glory,,,Acidslough Bulwark,819.3
3252,Darkfrost Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Selfless Collector's Gauntlets,Shadowghast Ring,Ritual Bone Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Blighted Margrave's Cloak,Axe of the Deadgrove,,,Acidslough Bulwark,1063.5
3253,Shadowghast Helm,Charm of Eternal Winter,Prankster's Pauldrons,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Signet of the False Accuser,Ritual Bone Band,Splintered Heart of Al'ar,Bargast's Leash,Cowled Batwing Cloak,Supercollider,,,Chyrus's Crest of Hope,1070.6
3254,Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Selfless Collector's Chestplate,Fused Bone Greatbelt,Halkias's Towering Pillars,Muckwallow Stompers,Thunderous Echo Vambraces,Hardened Castle Crushers,Signet of the False Accuser,Ritual Commander's Ring,Blood-Spattered Scale,Anima Field Emitter,Dealer Xy'exa's Cape,Engorged Worm Smasher,Blood Knight Tabard,,Sinful Gladiator's Guard,693.1
3255,Wing Commander's Helmet,Sin Stained Pendant,Prankster's Pauldrons,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Muckwallow Stompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Death God's Signet,Sinful Gladiator's Ring,Blood-Spattered Scale,Anima Field Emitter,Sinful Gladiator's Drape,Axe of the Deadgrove,,,Sinful Gladiator's Guard,1559.1
3256,Darkfrost Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fleshfused Crushers,Hyperlight Band,Entwined Gorger Tendril,Pulsating Stoneheart,Bladedancer's Armor Kit,Blighted Margrave's Cloak,Axe of the Deadgrove,,,Encrusted Canopic Lid,935.6
3257,Sinful Gladiator's Plate Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Rampaging Giant's Chestplate,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Shadowghast Sabatons,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Sinful Aspirant's Medallion,Cowled Batwing Cloak,Sinful Gladiator's Xiphos,Tabard of the Ascended,Ironforge Doublet,Barricade of the Endless Empire,1258.5
3258,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Sinful Gladiator's Plate Greatbelt,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Shoulderblade Vambraces,Fleshfused Crushers,Death God's Signet,Ritual Bone Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Blighted Margrave's Cloak,Axe of the Deadgrove,,,Chyrus's Crest of Hope,1352.5
3259,Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Dynamo Doomstompers,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Blood-Spattered Scale,Gluttonous Spike,Cloak of Enveloping Manifestations,Engorged Worm Smasher,,,Acidslough Bulwark,1343.9
3260,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Death God's Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Sophisticated Bonecracker,,,Acidslough Bulwark,1268.4
3261,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Scarred Bloodbound Girdle,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Blood-Spattered Scale,Viscera of Coalesced Hatred,Cowled Batwing Cloak,Sophisticated Bonecracker,Tabard of the Lightbringer,Artisan Member's Shirt,Acidslough Bulwark,1194.0
3262,Diadem of Imperious Desire,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Stoneguard Attendant's Boots,Hellhound Cuffs,Fleshfused Crushers,Signet of the False Accuser,Death God's Signet,Blood-Spattered Scale,Stone Legion Heraldry,Cowled Batwing Cloak,Sophisticated Bonecracker,Tabard of the Ascended,,Barricade of the Endless Empire,1095.9
3263,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Bloodoath Signet,Arachnid Cipher Ring,Pulsating Stoneheart,Blood-Spattered Scale,Dealer Xy'exa's Cape,Supercollider,,Wraps of the Blood-Soaked Brawler,Encrusted Canopic Lid,1304.0
3264,Wrathbark Greathelm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Legplates of Unholy Frenzy,Dynamo Doomstompers,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Signet of the False Accuser,Death God's Signet,Splintered Heart of Al'ar,Inscrutable Quantum Device,Grim-Veiled Cape,Engorged Worm Smasher,Silvermoon City Tabard,,Acidslough Bulwark,1014.3
3265,Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Fused Bone Greatbelt,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Ring of Perpetual Conflict,Anima Field Emitter,Splintered Heart of Al'ar,Cowled Batwing Cloak,Supercollider,,,Acidslough Bulwark,1312.4
3266,Wrathbark Greathelm,Sinful Gladiator's Necklace,Epaulettes of Overwhelming Force,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Halkias's Towering Pillars,Muckwallow Stompers,Hellhound Cuffs,Fleshfused Crushers,Shadowghast Ring,Ritual Commander's Ring,Sinful Gladiator's Medallion,Sinful Gladiator's Badge of Ferocity,Crest of the Legionnaire General,Sinful Gladiator's Xiphos,,,Chyrus's Crest of Hope,1008.0
3267,Wrathbark Greathelm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Shadowghast Greaves,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Most Regal Signet of Sire Denathrius,Stone Legion Heraldry,Blood-Spattered Scale,Drape of Twisted Loyalties,Xandria's Kopis of Courage,,,Chyrus's Crest of Hope,954.9
3268,Sinful Gladiator's Plate Helm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Endlessly Gluttonous Greaves,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Ritual Bone Band,Twisted Witherroot Band,Darkmoon Deck: Indomitable,Inscrutable Quantum Device,Cowled Batwing Cloak,Gorestained Cleaver,Tabard of Brute Force,Precious' Ribbon,Encrusted Canopic Lid,1049.1
3269,Sinful Gladiator's Plate Helm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestplate,Sinful Gladiator's Plate Greatbelt,Galvanized Oxxein Legguards,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Gluttonous Spike,Anima Field Emitter,Cowled Batwing Cloak,Sinful Gladiator's Xiphos,Tabard of the Lightbringer,,Barricade of the Endless Empire,1308.5
